Receiver,Location,Median Residencies (mins),Efficiency (%)
483479 (west),Caledonian Canal West at Laggan,69.65,NA
480432,River Garry confluence with Loch Oich at Invergarry,96.32,100
483488,Downstream end of Loch Oich,63.77,100
483495,Caledonian Canal East at Abercalder,29.92,NA
483466,River Oich at Abercalder,3.41,55
483492,Caledonian Canal East at Fort Augustus,99.05,NA
483457,River Oich confluence with Loch Ness at Fort Augustus,251.84,100
483463,River Ness at Dochfour,14.55,100
483460,Caledonian Canal East at Dochgarroch,100.90,NA
483458,River Ness at Ness Side,204.90,100
